repository,sha,author_login,author_name,commit_message,commit_date,files_changed,additions,deletions,total_changes,source_files_changed,test_files_changed,doc_files_changed,config_files_changed,message_length,message_word_count,is_merge_commit,hours_since_previous_commit,quality_label,selection_reason,candidate_score,changed_filenames,file_statuses,file_summary,patch_summary,api_files_count,patch_available_count,lockfile_count,generated_file_count,candidate_reasons,combined_text
django/django,be8d1b628533ac38d2771356e92ade1d61d3f059,vishy0,vishwa,Fixed #37119 -- Clarified middleware ordering note for nonce access.,2026-06-01 15:37:03+00:00,1,3,3,6,0,0,1,0,68,10,False,1364.5494444444444,USEFUL,documentation_only,,,,,,,,,,,Fixed #37119 -- Clarified middleware ordering note for nonce access.   
django/django,4bbc27c8686f10f9556cef02dbfa9f5157fbcf56,charettes,Simon Charette,"Fixed #36492 -- Restored exact boolean lookup against literals on SQLite.

Performance regression in 37e6c5b on SQLite. Just like MySQL, and presumably
Oracle, which don't have a native boolean type and incidently store booleans in
integer columns, indices on such columns cannot be used when explicit boolean
literal equalities are omitted.

Adapt the logic introduced by refs #32691 for MySQL to be used for all backends
that don't support native boolean fields instead of special casing MySQL,
SQLite, and Oracle in their own special way.

Note that review of this work surfaced that SQLite's query planner also cannot
make use of indices when dealing with expressions of form

   WHERE NOT (indexed_bool_field = false)

but that's a long standing problem unrelated to the restorative work performed
in this patch.

Thanks Klaas van Schelven for the report.",2025-07-06 01:19:05+00:00,7,85,65,150,7,0,0,0,860,135,False,,USEFUL,source_code,,,,,,,,,,,"Fixed #36492 -- Restored exact boolean lookup against literals on SQLite.

Performance regression in 37e6c5b on SQLite. Just like MySQL, and presumably
Oracle, which don't have a native boolean type and incidently store booleans in
integer columns, indices on such columns cannot be used when explicit boolean
literal equalities are omitted.

Adapt the logic introduced by refs #32691 for MySQL to be used for all backends
that don't support native boolean fields instead of special casing MySQL,
SQLite, and Oracle in their own special way.

Note that review of this work surfaced that SQLite's query planner also cannot
make use of indices when dealing with expressions of form

   WHERE NOT (indexed_bool_field = false)

but that's a long standing problem unrelated to the restorative work performed
in this patch.

Thanks Klaas van Schelven for the report.   "
django/django,142b881cecaddc334cabec139e701c0e4b9798da,jacobtylerwalls,Jacob Walls,"Refs #36560, CVE-2026-35193 -- Replaced substring check on cache-control directives in UpdateCacheMiddleware.

Avoid false positives from hypothetical extension directives
that could be superstrings of the ones we are checking.",2026-06-09 12:46:36+00:00,2,31,2,33,2,0,0,0,227,29,False,21.201666666666668,USEFUL,random|source_code,,,,,,,,,,,"Refs #36560, CVE-2026-35193 -- Replaced substring check on cache-control directives in UpdateCacheMiddleware.

Avoid false positives from hypothetical extension directives
that could be superstrings of the ones we are checking.   "
encode/httpx,2c51edd0c0d4124423661eb5678ae1a94a107260,lovelydinosaur,Tom Christie,Update CHANGELOG.md (#3000),2023-12-12 13:44:26+00:00,1,1,0,1,0,0,1,0,27,3,False,21.985,UNCERTAIN,tiny_commit,9.0,,,,,,,,,,Update CHANGELOG.md (#3000)   
encode/httpx,489fef48ba8619c7604376165c7e8007398e1b5d,lovelydinosaur,Tom Christie,Update CHANGELOG.md (#3372),2024-10-28 14:43:24+00:00,1,1,0,1,0,0,1,0,27,3,False,0.2211111111111111,UNCERTAIN,short_message,9.0,,,,,,,,,,Update CHANGELOG.md (#3372)   
encode/httpx,4b23574cf83307ce27d3b14b4a425dc58c57d28d,lovelydinosaur,Kim Christie,Update dependencies (#3665),2025-09-16 13:23:31+00:00,1,1,1,2,0,0,1,0,27,3,False,5134.510277777777,UNCERTAIN,short_message,9.0,,,,,,,,,,Update dependencies (#3665)   
pallets/flask,ff64079a516c269f171ababf3d92b86886a62ffd,davidism,David Lord,update flask-talisman link,2025-08-18 17:51:12+00:00,1,1,1,2,0,0,1,0,26,3,False,0.4166666666666667,LOW_VALUE,short_message,9.0,,,,,,,,,,update flask-talisman link   
psf/requests,f43f750ee10addbaa13901c1017631b4d70fd6e3,dependabot[bot],dependabot[bot],Bump https://github.com/astral-sh/ruff-pre-commit (#7390),2026-04-24 14:19:25+00:00,1,1,1,2,0,0,0,1,57,3,False,90.78138888888888,USEFUL,short_message,9.0,,,,,,,,,,Bump https://github.com/astral-sh/ruff-pre-commit (#7390)   
keras-team/keras,32fc5c747d9129592f15bdde35204f8c56295336,peinguim,pedro,"fixes `LambdaCallback` docs (#23057)

unescaped `\n` was causing bad formatting",2026-06-09 22:19:20+00:00,1,1,1,2,1,0,0,0,79,10,False,,USEFUL,tiny_commit,7.0,,,,,,,,,,"fixes `LambdaCallback` docs (#23057)

unescaped `\n` was causing bad formatting   "
pallets/flask,6b361ce06b08454329286214072139228e8c2f33,davidism,David Lord,markdown formatting,2025-01-05 17:01:49+00:00,1,4,6,10,0,0,1,0,19,2,False,0.0,LOW_VALUE,short_message,7.0,,,,,,,,,,markdown formatting   
pallets/flask,f61172b8dd3f962d33f25c50b2f5405e90ceffa5,davidism,David Lord,Merge branch 'stable',2025-01-05 17:10:00+00:00,0,0,0,0,0,0,0,0,21,3,True,0.1219444444444444,UNCERTAIN,short_message,6.0,,,,,,,,,,Merge branch 'stable'   
fastapi/fastapi,3f28dbe6d84cdac19bdb2b41e1664981e37359ab,github-actions[bot],github-actions[bot],"📝 Update release notes

[skip ci]",2026-06-24 12:28:30+00:00,1,1,0,1,0,0,1,0,33,6,False,13.199722222222222,UNCERTAIN,bot_commit,6.0,,,,,,,,,,"📝 Update release notes

[skip ci]   "
fastapi/fastapi,76008f778bbf2b55a337b2e3be3ea71ae5db51a4,github-actions[bot],github-actions[bot],"📝 Update release notes

[skip ci]",2026-06-15 21:25:25+00:00,1,1,0,1,0,0,1,0,33,6,False,0.1766666666666666,UNCERTAIN,tiny_commit,6.0,,,,,,,,,,"📝 Update release notes

[skip ci]   "
fastapi/fastapi,c66d1c222bf0aa1c90d6436164292b84ca8d4361,github-actions[bot],github-actions[bot],"📝 Update release notes

[skip ci]",2026-06-16 18:01:49+00:00,1,1,0,1,0,0,1,0,33,6,False,0.0344444444444444,UNCERTAIN,bot_commit,6.0,,,,,,,,,,"📝 Update release notes

[skip ci]   "
django/django,f2f522893f2732a6ed7b6f00382f5f0697085e57,smithdc1,David Smith,Added CI workflow to expand geospatial library version coverage.,2026-06-18T09:02:09Z,3,49,33,82,0,0,0,3,64,9,False,,USEFUL,configuration_only,,".github/workflows/data/conda/geolibs-pg17.yml
.github/workflows/data/conda/geolibs-pg18.yml
.github/workflows/postgis.yml","added
added
modified",".github/workflows/data/conda/geolibs-pg17.yml | status=added | +11 | -0
.github/workflows/data/conda/geolibs-pg18.yml | status=added | +11 | -0
.github/workflows/postgis.yml | status=modified | +27 | -33","FILE: .github/workflows/data/conda/geolibs-pg17.yml
@@ -0,0 +1,11 @@
+name: geodjango
+channels:
+  - conda-forge
+dependencies:
+  - python=3.14
+  - pip=26.*
+  - postgresql=17.*
+  - postgis=3.5.*
+  - libgdal=3.11.*
+  - geos=3.14.*
+  - proj=9.6.*

FILE: .github/workflows/data/conda/geolibs-pg18.yml
@@ -0,0 +1,11 @@
+name: geodjango
+channels:
+  - conda-forge
+dependencies:
+  - python=3.14
+  - pip=26.*
+  - postgresql=18.*
+  - postgis=3.6.*
+  - libgdal=3.13.*
+  - geos=3.14.*
+  - proj=9.8.*

FILE: .github/workflows/postgis.yml
@@ -17,54 +17,48 @@ jobs:
   postgis:
     if: contains(github.event.pull_request.labels.*.name, 'geodjango')
     runs-on: ubuntu-latest
+    defaults:
+      run:
+        # Use Conda shell in all steps. See https://github.com/marketplace/actions/setup-miniconda#use-a-default-shell
+        shell: bash -el {0}
     strategy:
       fail-fast: false
       matrix:
-        postgis-version: [""latest"", ""18-3.6-alpine"", ""17-master""]
-    name: PostGIS ${{ matrix.postgis-version }}
-    services:
-      postgres:
-        image: postgis/postgis:${{ matrix.postgis-version }}
-        env:
-          POSTGRES_DB: geodjango
-          POSTGRES_USER: user
-          POSTGRES_PASSWORD: postgres
-        ports:
-          - 5432:5432
-        options: >-
-          --health-cmd pg_isready
-          --health-interval 10s
-          --health-timeout 5s
-          --health-retries 5
-    timeout-minutes: 60
+        include:
+          - conda-environment-file: "".github/workflows/data/conda/geolibs-pg17.yml""
+            pg_major: ""17""
+          - conda-environment-file: "".github/workflows/data/conda/geolibs-pg18.yml""
+            pg_major: ""18""
+    name: PostgreSQL ${{ matrix.pg_major }}
     steps:
       - name: Checkout
         uses: actions/checkout@v6
         with:
           persist-credentials: false
-      - name: Set up Python
-        uses: actions/setup-python@v6
+      - name: Setup Miniforge
+        # Pinned to v4.0.1
+        uses: conda-incubator/setup-miniconda@8ee",3.0,3.0,0.0,0.0,,"Added CI workflow to expand geospatial library version coverage. .github/workflows/data/conda/geolibs-pg17.yml
.github/workflows/data/conda/geolibs-pg18.yml
.github/workflows/postgis.yml .github/workflows/data/conda/geolibs-pg17.yml | status=added | +11 | -0
.github/workflows/data/conda/geolibs-pg18.yml | status=added | +11 | -0
.github/workflows/postgis.yml | status=modified | +27 | -33 FILE: .github/workflows/data/conda/geolibs-pg17.yml
@@ -0,0 +1,11 @@
+name: geodjango
+channels:
+  - conda-forge
+dependencies:
+  - python=3.14
+  - pip=26.*
+  - postgresql=17.*
+  - postgis=3.5.*
+  - libgdal=3.11.*
+  - geos=3.14.*
+  - proj=9.6.*

FILE: .github/workflows/data/conda/geolibs-pg18.yml
@@ -0,0 +1,11 @@
+name: geodjango
+channels:
+  - conda-forge
+dependencies:
+  - python=3.14
+  - pip=26.*
+  - postgresql=18.*
+  - postgis=3.6.*
+  - libgdal=3.13.*
+  - geos=3.14.*
+  - proj=9.8.*

FILE: .github/workflows/postgis.yml
@@ -17,54 +17,48 @@ jobs:
   postgis:
     if: contains(github.event.pull_request.labels.*.name, 'geodjango')
     runs-on: ubuntu-latest
+    defaults:
+      run:
+        # Use Conda shell in all steps. See https://github.com/marketplace/actions/setup-miniconda#use-a-default-shell
+        shell: bash -el {0}
     strategy:
       fail-fast: false
       matrix:
-        postgis-version: [""latest"", ""18-3.6-alpine"", ""17-master""]
-    name: PostGIS ${{ matrix.postgis-version }}
-    services:
-      postgres:
-        image: postgis/postgis:${{ matrix.postgis-version }}
-        env:
-          POSTGRES_DB: geodjango
-          POSTGRES_USER: user
-          POSTGRES_PASSWORD: postgres
-        ports:
-          - 5432:5432
-        options: >-
-          --health-cmd pg_isready
-          --health-interval 10s
-          --health-timeout 5s
-          --health-retries 5
-    timeout-minutes: 60
+        include:
+          - conda-environment-file: "".github/workflows/data/conda/geolibs-pg17.yml""
+            pg_major: ""17""
+          - conda-environment-file: "".github/workflows/data/conda/geolibs-pg18.yml""
+            pg_major: ""18""
+    name: PostgreSQL ${{ matrix.pg_major }}
     steps:
       - name: Checkout
         uses: actions/checkout@v6
         with:
           persist-credentials: false
-      - name: Set up Python
-        uses: actions/setup-python@v6
+      - name: Setup Miniforge
+        # Pinned to v4.0.1
+        uses: conda-incubator/setup-miniconda@8ee"
django/django,672cfaa53c72dd67fb54ecbdd904ea364d2951c4,jacobtylerwalls,Jacob Walls,"Made PR quality check require tickets for new contributors.

Agents are already abusing the exception for small pull requests
by mixing in unrelated typo fixes with their code changes for
unreviewed tickets and removing mention of said ticket.",2026-06-02 14:57:53+00:00,3,21,3,24,2,1,0,0,243,38,False,19.130277777777778,USEFUL,test_change,,"scripts/pr_quality/check_pr.py
scripts/pr_quality/errors.py
scripts/pr_quality/tests/test_check_pr.py","modified
modified
modified","scripts/pr_quality/check_pr.py | status=modified | +9 | -1
scripts/pr_quality/errors.py | status=modified | +3 | -2
scripts/pr_quality/tests/test_check_pr.py | status=modified | +9 | -0","FILE: scripts/pr_quality/check_pr.py
@@ -470,10 +470,18 @@ def main(
             pr_number,
         )
         return
+    if commit_count == 0:
+        logger.info(
+            ""PR #%s author has no commits -- setting size threshold to 0."",
+            pr_number,
+        )
+        threshold = 0
+    else:
+        threshold = LARGE_PR_THRESHOLD
 
     pr_title_result = SKIPPED
     total_changes = get_pr_total_changes(pr_number, repo, token)
-    ticket_result = check_trac_ticket(pr_body, total_changes)
+    ticket_result = check_trac_ticket(pr_body, total_changes, threshold)
     ticket_status_result = SKIPPED
     ticket_has_patch_result = SKIPPED
     ticket_id = extract_ticket_id(pr_body) if ticket_result is None else None

FILE: scripts/pr_quality/errors.py
@@ -154,6 +154,7 @@ def as_details(self, level=LEVEL_ERROR):
     ""Patches submitted against unreviewed tickets are unlikely to be merged.\n""
     ""3. Edit the **Trac ticket number** section of your PR description to include ""
     ""the ticket in the format `ticket-NNNNN` (e.g. `ticket-36991`).\n\n""
-    ""For PRs with fewer than {threshold} lines changed (additions + deletions), you ""
-    ""may write `N/A` in the ticket field instead (e.g. `N/A - typo fix`)."",
+    ""Unless this is your first contribution, for PRs with fewer than {threshold} lines ""
+    ""changed (additions + deletions), you may write `N/A` in the ticket field instead ""
+    ""(e.g. `N/A - typo fix`)."",
 )

FILE: scripts/pr_quality/tests/test_check_pr.py
@@ -770,6 +770,15 @@ def test_established_author_skips_all_checks(self):
         self.assertIsNone(result)
         mock_gh.assert_not_called()
 
+    def test_new_contributor_cannot_omit_ticket(self):
+        body = make_pr_body(ticket="""", checked_items=0)
+        _, mock_summary, _ = self.call_main(pr_body=body, commit_count=0)
+        _, results, _ = mock_summary.call_args.args
+        result_map = {name: result for name, result, _ in results}
+        self.assertEqual(
+            result_map[""Trac ticket referenced""].title, check_pr.MISSING_TRAC_TICKET[0]
+        )
+
     def test_fully_valid_pr_no_comment_posted(self):
         result, _, mock_gh = self.call_main(
             pr_body=VALID_PR_BODY, pr_title=VALID_PR_TITLE",3.0,3.0,0.0,0.0,,"Made PR quality check require tickets for new contributors.

Agents are already abusing the exception for small pull requests
by mixing in unrelated typo fixes with their code changes for
unreviewed tickets and removing mention of said ticket. scripts/pr_quality/check_pr.py
scripts/pr_quality/errors.py
scripts/pr_quality/tests/test_check_pr.py scripts/pr_quality/check_pr.py | status=modified | +9 | -1
scripts/pr_quality/errors.py | status=modified | +3 | -2
scripts/pr_quality/tests/test_check_pr.py | status=modified | +9 | -0 FILE: scripts/pr_quality/check_pr.py
@@ -470,10 +470,18 @@ def main(
             pr_number,
         )
         return
+    if commit_count == 0:
+        logger.info(
+            ""PR #%s author has no commits -- setting size threshold to 0."",
+            pr_number,
+        )
+        threshold = 0
+    else:
+        threshold = LARGE_PR_THRESHOLD
 
     pr_title_result = SKIPPED
     total_changes = get_pr_total_changes(pr_number, repo, token)
-    ticket_result = check_trac_ticket(pr_body, total_changes)
+    ticket_result = check_trac_ticket(pr_body, total_changes, threshold)
     ticket_status_result = SKIPPED
     ticket_has_patch_result = SKIPPED
     ticket_id = extract_ticket_id(pr_body) if ticket_result is None else None

FILE: scripts/pr_quality/errors.py
@@ -154,6 +154,7 @@ def as_details(self, level=LEVEL_ERROR):
     ""Patches submitted against unreviewed tickets are unlikely to be merged.\n""
     ""3. Edit the **Trac ticket number** section of your PR description to include ""
     ""the ticket in the format `ticket-NNNNN` (e.g. `ticket-36991`).\n\n""
-    ""For PRs with fewer than {threshold} lines changed (additions + deletions), you ""
-    ""may write `N/A` in the ticket field instead (e.g. `N/A - typo fix`)."",
+    ""Unless this is your first contribution, for PRs with fewer than {threshold} lines ""
+    ""changed (additions + deletions), you may write `N/A` in the ticket field instead ""
+    ""(e.g. `N/A - typo fix`)."",
 )

FILE: scripts/pr_quality/tests/test_check_pr.py
@@ -770,6 +770,15 @@ def test_established_author_skips_all_checks(self):
         self.assertIsNone(result)
         mock_gh.assert_not_called()
 
+    def test_new_contributor_cannot_omit_ticket(self):
+        body = make_pr_body(ticket="""", checked_items=0)
+        _, mock_summary, _ = self.call_main(pr_body=body, commit_count=0)
+        _, results, _ = mock_summary.call_args.args
+        result_map = {name: result for name, result, _ in results}
+        self.assertEqual(
+            result_map[""Trac ticket referenced""].title, check_pr.MISSING_TRAC_TICKET[0]
+        )
+
     def test_fully_valid_pr_no_comment_posted(self):
         result, _, mock_gh = self.call_main(
             pr_body=VALID_PR_BODY, pr_title=VALID_PR_TITLE"
django/django,8013cf61c6a1aff9839af2953c5bdda804efdff4,jacobtylerwalls,Jacob Walls,"Refs #36984 -- Preserved translator comment on separator string.

The inclusion of the comment in the .po file only works if the comment line
is directly above.",2026-06-24T17:55:29Z,1,2,2,4,1,0,0,0,160,27,False,,USEFUL,tiny_commit,,django/contrib/admin/options.py,modified,django/contrib/admin/options.py | status=modified | +2 | -2,"FILE: django/contrib/admin/options.py
@@ -2798,9 +2798,9 @@ def hand_clean_DELETE(self):
                             len(collector.protected) - delete_confirmation_max_display
                         )
                         if remaining_object_count > 0:
-                            # Translators: This string is used as a separator
-                            # between list elements
                             related = (
+                                # Translators: This string is used as a
+                                # separator between list elements.
                                 _("", "").join(str(i) for i in objs)
                                 + _("", "")
                                 + ngettext(",1.0,1.0,0.0,0.0,,"Refs #36984 -- Preserved translator comment on separator string.

The inclusion of the comment in the .po file only works if the comment line
is directly above. django/contrib/admin/options.py django/contrib/admin/options.py | status=modified | +2 | -2 FILE: django/contrib/admin/options.py
@@ -2798,9 +2798,9 @@ def hand_clean_DELETE(self):
                             len(collector.protected) - delete_confirmation_max_display
                         )
                         if remaining_object_count > 0:
-                            # Translators: This string is used as a separator
-                            # between list elements
                             related = (
+                                # Translators: This string is used as a
+                                # separator between list elements.
                                 _("", "").join(str(i) for i in objs)
                                 + _("", "")
                                 + ngettext("
django/django,8f0abd228750f2146749260d607279eb96a88c25,jacobtylerwalls,Jacob Walls,Refs #15727 -- Moved security.E026 out of list of deploy=True checks.,2026-05-07 00:03:34+00:00,1,2,2,4,0,0,1,0,69,11,False,4.398055555555556,USEFUL,documentation_only,,docs/ref/checks.txt,modified,docs/ref/checks.txt | status=modified | +2 | -2,"FILE: docs/ref/checks.txt
@@ -592,8 +592,6 @@ The following checks are run if you use the :option:`check --deploy` option:
   ``'django-insecure-'`` indicating that it was generated automatically by
   Django. Please generate a long and random value, otherwise many of Django's
   security-critical features will be vulnerable to attack.
-* **security.E026**: The CSP setting ``<SETTING_NAME>`` must be a dictionary
-  (got ``<value>`` instead).
 
 The following checks verify that your security-related settings are correctly
 configured:
@@ -604,6 +602,8 @@ configured:
   correct number of arguments.
 * **security.E102**: The CSRF failure view ``'path.to.view'`` could not be
   imported.
+* **security.E026**: The CSP setting ``<SETTING_NAME>`` must be a dictionary
+  (got ``<value>`` instead).
 
 Signals
 -------",1.0,1.0,0.0,0.0,,"Refs #15727 -- Moved security.E026 out of list of deploy=True checks. docs/ref/checks.txt docs/ref/checks.txt | status=modified | +2 | -2 FILE: docs/ref/checks.txt
@@ -592,8 +592,6 @@ The following checks are run if you use the :option:`check --deploy` option:
   ``'django-insecure-'`` indicating that it was generated automatically by
   Django. Please generate a long and random value, otherwise many of Django's
   security-critical features will be vulnerable to attack.
-* **security.E026**: The CSP setting ``<SETTING_NAME>`` must be a dictionary
-  (got ``<value>`` instead).
 
 The following checks verify that your security-related settings are correctly
 configured:
@@ -604,6 +602,8 @@ configured:
   correct number of arguments.
 * **security.E102**: The CSRF failure view ``'path.to.view'`` could not be
   imported.
+* **security.E026**: The CSP setting ``<SETTING_NAME>`` must be a dictionary
+  (got ``<value>`` instead).
 
 Signals
 -------"
django/django,d058058976496cedf3f36fa303a0327af38cdeaa,bouaik9,ayoub,Fixed #37191 -- Prevented ValueError in FileBasedCache.touch() for expired keys.,2026-06-26T12:18:09Z,2,9,1,10,2,0,0,0,80,10,False,,USEFUL,source_code,,"django/core/cache/backends/filebased.py
tests/cache/tests.py","modified
modified","django/core/cache/backends/filebased.py | status=modified | +3 | -1
tests/cache/tests.py | status=modified | +6 | -0","FILE: django/core/cache/backends/filebased.py
@@ -73,7 +73,9 @@ def touch(self, key, timeout=DEFAULT_TIMEOUT, version=None):
                         self._write_content(f, timeout, previous_value)
                         return True
                 finally:
-                    locks.unlock(f)
+                    # Expired files are closed & unlocked by _is_expired().
+                    if not f.closed:
+                        locks.unlock(f)
         except FileNotFoundError:
             return False
 

FILE: tests/cache/tests.py
@@ -1971,6 +1971,12 @@ def sleep(self, seconds):
         ):
             super().test_touch()
 
+    def test_touch_expired_key_does_not_crash(self):
+        cache.set(""expired_touch_key"", ""value"", timeout=0.01)
+        time.sleep(0.05)
+        result = cache.touch(""expired_touch_key"", 60)
+        self.assertIs(result, False)
+
 
 @unittest.skipUnless(RedisCache_params, ""Redis backend not configured"")
 @override_settings(",2.0,2.0,0.0,0.0,,"Fixed #37191 -- Prevented ValueError in FileBasedCache.touch() for expired keys. django/core/cache/backends/filebased.py
tests/cache/tests.py django/core/cache/backends/filebased.py | status=modified | +3 | -1
tests/cache/tests.py | status=modified | +6 | -0 FILE: django/core/cache/backends/filebased.py
@@ -73,7 +73,9 @@ def touch(self, key, timeout=DEFAULT_TIMEOUT, version=None):
                         self._write_content(f, timeout, previous_value)
                         return True
                 finally:
-                    locks.unlock(f)
+                    # Expired files are closed & unlocked by _is_expired().
+                    if not f.closed:
+                        locks.unlock(f)
         except FileNotFoundError:
             return False
 

FILE: tests/cache/tests.py
@@ -1971,6 +1971,12 @@ def sleep(self, seconds):
         ):
             super().test_touch()
 
+    def test_touch_expired_key_does_not_crash(self):
+        cache.set(""expired_touch_key"", ""value"", timeout=0.01)
+        time.sleep(0.05)
+        result = cache.touch(""expired_touch_key"", 60)
+        self.assertIs(result, False)
+
 
 @unittest.skipUnless(RedisCache_params, ""Redis backend not configured"")
 @override_settings("
